"date","county","state","fips","cases","deaths"
"2021-03-08","Alamance","North Carolina",37001,16003,231
"2021-03-08","Alexander","North Carolina",37003,3957,76
"2021-03-08","Alleghany","North Carolina",37005,930,5
"2021-03-08","Anson","North Carolina",37007,2338,53
"2021-03-08","Ashe","North Carolina",37009,1899,40
"2021-03-08","Avery","North Carolina",37011,1857,20
"2021-03-08","Beaufort","North Carolina",37013,4296,83
"2021-03-08","Bertie","North Carolina",37015,1667,41
"2021-03-08","Bladen","North Carolina",37017,2987,41
"2021-03-08","Brunswick","North Carolina",37019,8161,137
"2021-03-08","Buncombe","North Carolina",37021,15803,303
"2021-03-08","Burke","North Carolina",37023,9304,142
"2021-03-08","Cabarrus","North Carolina",37025,18801,237
"2021-03-08","Caldwell","North Carolina",37027,8735,87
"2021-03-08","Camden","North Carolina",37029,596,5
"2021-03-08","Carteret","North Carolina",37031,4486,44
"2021-03-08","Caswell","North Carolina",37033,2001,24
"2021-03-08","Catawba","North Carolina",37035,17648,286
"2021-03-08","Chatham","North Carolina",37037,4182,79
"2021-03-08","Cherokee","North Carolina",37039,2139,19
"2021-03-08","Chowan","North Carolina",37041,1383,22
"2021-03-08","Clay","North Carolina",37043,663,18
"2021-03-08","Cleveland","North Carolina",37045,10463,218
"2021-03-08","Columbus","North Carolina",37047,5946,147
"2021-03-08","Craven","North Carolina",37049,8452,115
"2021-03-08","Cumberland","North Carolina",37051,24578,281
"2021-03-08","Currituck","North Carolina",37053,1404,15
"2021-03-08","Dare","North Carolina",37055,1875,8
"2021-03-08","Davidson","North Carolina",37057,14783,168
"2021-03-08","Davie","North Carolina",37059,3597,32
"2021-03-08","Duplin","North Carolina",37061,5783,128
"2021-03-08","Durham","North Carolina",37063,22429,212
"2021-03-08","Edgecombe","North Carolina",37065,4751,100
"2021-03-08","Forsyth","North Carolina",37067,32311,349
"2021-03-08","Franklin","North Carolina",37069,5552,45
"2021-03-08","Gaston","North Carolina",37071,24029,379
"2021-03-08","Gates","North Carolina",37073,680,12
"2021-03-08","Graham","North Carolina",37075,567,12
"2021-03-08","Granville","North Carolina",37077,5324,76
"2021-03-08","Greene","North Carolina",37079,2147,42
"2021-03-08","Guilford","North Carolina",37081,40605,559
"2021-03-08","Halifax","North Carolina",37083,5042,100
"2021-03-08","Harnett","North Carolina",37085,9895,155
"2021-03-08","Haywood","North Carolina",37087,3903,88
"2021-03-08","Henderson","North Carolina",37089,9027,150
"2021-03-08","Hertford","North Carolina",37091,1966,61
"2021-03-08","Hoke","North Carolina",37093,4183,54
"2021-03-08","Hyde","North Carolina",37095,629,8
"2021-03-08","Iredell","North Carolina",37097,16684,196
"2021-03-08","Jackson","North Carolina",37099,3378,55
"2021-03-08","Johnston","North Carolina",37101,18280,201
"2021-03-08","Jones","North Carolina",37103,739,16
"2021-03-08","Lee","North Carolina",37105,5512,73
"2021-03-08","Lenoir","North Carolina",37107,5510,107
"2021-03-08","Lincoln","North Carolina",37109,8929,72
"2021-03-08","Macon","North Carolina",37113,2593,31
"2021-03-08","Madison","North Carolina",37115,1377,40
"2021-03-08","Martin","North Carolina",37117,2094,37
"2021-03-08","McDowell","North Carolina",37111,4902,61
"2021-03-08","Mecklenburg","North Carolina",37119,98216,888
"2021-03-08","Mitchell","North Carolina",37121,1251,16
"2021-03-08","Montgomery","North Carolina",37123,3107,88
"2021-03-08","Moore","North Carolina",37125,8095,182
"2021-03-08","Nash","North Carolina",37127,9922,172
"2021-03-08","New Hanover","North Carolina",37129,16509,152
"2021-03-08","Northampton","North Carolina",37131,1731,33
"2021-03-08","Onslow","North Carolina",37133,14866,135
"2021-03-08","Orange","North Carolina",37135,7838,96
"2021-03-08","Pamlico","North Carolina",37137,975,10
"2021-03-08","Pasquotank","North Carolina",37139,3104,78
"2021-03-08","Pender","North Carolina",37141,4796,60
"2021-03-08","Perquimans","North Carolina",37143,926,9
"2021-03-08","Person","North Carolina",37145,3058,64
"2021-03-08","Pitt","North Carolina",37147,17735,83
"2021-03-08","Polk","North Carolina",37149,1366,27
"2021-03-08","Randolph","North Carolina",37151,13540,205
"2021-03-08","Richmond","North Carolina",37153,4257,91
"2021-03-08","Robeson","North Carolina",37155,15365,212
"2021-03-08","Rockingham","North Carolina",37157,6912,61
"2021-03-08","Rowan","North Carolina",37159,15089,291
"2021-03-08","Rutherford","North Carolina",37161,6796,200
"2021-03-08","Sampson","North Carolina",37163,6963,92
"2021-03-08","Scotland","North Carolina",37165,3515,77
"2021-03-08","Stanly","North Carolina",37167,6936,111
"2021-03-08","Stokes","North Carolina",37169,3698,74
"2021-03-08","Surry","North Carolina",37171,7455,140
"2021-03-08","Swain","North Carolina",37173,1171,16
"2021-03-08","Transylvania","North Carolina",37175,1957,27
"2021-03-08","Tyrrell","North Carolina",37177,305,6
"2021-03-08","Union","North Carolina",37179,21100,202
"2021-03-08","Vance","North Carolina",37181,4424,82
"2021-03-08","Wake","North Carolina",37183,79699,550
"2021-03-08","Warren","North Carolina",37185,1623,18
"2021-03-08","Washington","North Carolina",37187,999,31
"2021-03-08","Watauga","North Carolina",37189,4048,30
"2021-03-08","Wayne","North Carolina",37191,10356,225
"2021-03-08","Wilkes","North Carolina",37193,6079,104
"2021-03-08","Wilson","North Carolina",37195,8586,150
"2021-03-08","Yadkin","North Carolina",37197,3692,46
"2021-03-08","Yancey","North Carolina",37199,1464,26
